162;B02-01;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
163;B02-02;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
164;B02-03;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
165;B02-04;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
166;B02-05;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
167;B02-06;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
168;B02-07;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
169;B02-08;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
170;B02-09;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
171;B02-10;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
172;B02-11;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
173;B02-12;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
174;B02-13;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
175;B02-14;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
176;B03-01;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
177;B03-02;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
178;B03-03;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
179;B03-04;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
180;B03-05;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
181;B03-06;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
182;B03-07;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
183;B03-08;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
184;B03-09;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
185;B03-10;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
186;B03-11;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
187;B03-12;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
188;B03-13;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
189;B03-14;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
190;B04-01;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
191;B04-02;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
192;B04-03;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
193;B04-04;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
194;B04-05;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
195;B04-06;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
196;B04-07;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
197;B04-08;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
198;B04-09;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
199;B04-10;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
200;B04-11;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
201;B04-12;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
202;B04-13;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
203;B04-14;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
204;C01-01;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
205;C01-02;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
206;C01-03;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
207;C01-04;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
208;C01-05;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
209;C01-06;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
210;C02-01;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
211;C02-02;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
212;C02-03;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
213;C02-04;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
214;C02-05;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
215;C02-06;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
216;C03-01;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
217;C03-02;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
218;C03-03;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
219;C03-04;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
220;C03-05;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
221;C03-06;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
222;C04-01;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
223;C04-02;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
224;C04-03;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
225;C04-04;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
226;C04-05;RACK;1000;2018-04-17 04:00:49;2018-04-17 04:00:49
