713;704641;F-DVS RSF-621\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
714;666123;F-ES A920\6X1000U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
715;704680;F-DVS CHN-120\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
716;706152;FD-DVS nu-trish LA-5\20X25g;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
717;707753;F-DVS STI-09\10X500U;Frozen -55;1;2018-04-17 04:00:49;2018-04-17 04:00:49
718;709099;CA-6700A-WS\10KG;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
719;713504;FD-DVS YC-380\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
720;713580;FD-DVS R-703\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
721;713592;FD-DVS RST-743\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
722;713593;FD-DVS YC-370\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
723;713610;FD-DVS STI-14\30x50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
724;713619;FD-DVS RSF-736\30X50U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
725;713838;Vegex NC 2c WS mct-TCCC\220KG;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
726;715006;Achiote Powder\25 Kg;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
727;715330;AFC W/S 3X \ 43 LB;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
728;70422;PROCESS COLOR VI 4X8.2 LB;Ambient;1;2018-04-17 04:00:49;2018-04-17 04:00:49
729;70496;AP-10 4X8.6 LB;Cooled;1;2018-04-17 04:00:49;2018-04-17 04:00:49
730;70700;LHP DRY 42g\225kg;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
731;100128;FD-DVS CHN-22\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
732;100129;FD-DVS FLORA DANICA\25X200U;Frozen -22;1;2018-04-17 04:00:49;2018-04-17 04:00:49
